,0,Label
0,0.016672492,Don't move
1,-0.0069431267,Don't move
2,0.023480654,Don't move
3,-0.014390644,Don't move
4,0.003869339,Don't move
5,-0.023381153,Don't move
6,-0.015645452,Don't move
7,-0.0121315075,Don't move
8,0.009706663,Don't move
9,0.0036438257,Don't move
10,0.022748685,Don't move
11,-0.019622352,Don't move
12,0.024429934,Don't move
13,0.022505593,Buy
14,-0.009871914,Buy
15,-0.0059501436,Buy
16,-0.004714987,Buy
17,0.0138279535,Buy
18,-0.007294581,Buy
19,-0.01964391,Buy
20,-0.00848832,Buy
21,-0.0042936574,Buy
22,-0.009627346,Buy
23,-0.0006955154,Buy
24,-0.007717567,Buy
25,-0.010057361,Buy
26,-0.01271543,Buy
27,-0.006139943,Buy
28,-0.0018836288,Buy
29,0.023649445,Buy
30,-0.005745697,Buy
31,0.0063152695,Buy
32,0.030386358,Buy
33,-0.0015153986,Buy
34,-0.00011215545,Buy
35,0.008499544,Buy
36,-0.0033010738,Buy
37,-0.002998151,Buy
38,-0.0039266436,Buy
39,0.00084791053,Buy
40,-0.001009517,Buy
41,-0.051822856,Buy
42,0.039844293,Buy
43,-0.08556354,Buy
44,-0.03604029,Buy
45,-0.001302897,Buy
46,0.0076807304,Buy
47,-0.020615842,Buy
48,-0.02145641,Buy
49,0.044594932,Buy
50,-0.0659695,Buy
51,0.0388464,Buy
52,0.037110228,Buy
53,0.03331446,Buy
54,0.0247971,Buy
55,-0.055109445,Buy
56,0.06990983,Buy
57,0.0441834,Buy
58,0.009669753,Don't move
59,-0.07921906,Don't move
60,0.018674016,Don't move
61,-0.02030344,Don't move
62,0.01215061,Sell
63,-0.012513818,Sell
64,-0.005511866,Sell
65,0.012090742,Sell
66,-0.011045623,Sell
67,-0.001127895,Sell
68,0.010496917,Sell
69,0.012591462,Sell
70,-0.0018632929,Sell
71,-0.004379308,Sell
72,0.0025629313,Sell
73,-0.0032242332,Sell
74,0.027743854,Sell
75,-0.0029901287,Sell
76,0.021512475,Sell
77,0.018620025,Don't move
78,-0.0013724862,Don't move
79,0.0094226375,Don't move
80,-0.013289893,Don't move
81,-0.00038720854,Don't move
82,0.01494659,Don't move
83,-0.031815596,Don't move
84,0.013661252,Don't move
85,0.022734132,Don't move
86,-0.01673479,Don't move
87,0.0076843146,Don't move
88,-0.019818954,Don't move
89,0.012857013,Don't move
90,-0.013931423,Don't move
91,0.02047291,Don't move
92,0.025427172,Don't move
93,-0.017512968,Don't move
94,-0.022879358,Don't move
95,-0.016722256,Don't move
96,-0.0052465205,Don't move
97,-0.007432456,Don't move
98,0.011310487,Don't move
99,-0.0070184614,Don't move
100,-0.079912044,Don't move
101,-0.11961631,Don't move
102,0.050985828,Don't move
103,-0.13350078,Don't move
104,0.09133631,Don't move
105,0.06822575,Don't move
106,-0.03933261,Don't move
107,-0.07258692,Don't move
108,-0.0329807,Don't move
109,-0.01413308,Don't move
110,-0.032437686,Don't move
111,-0.0636447,Don't move
112,0.079882674,Don't move
113,0.024788085,Don't move
114,0.061497353,Don't move
115,-0.020556662,Don't move
116,0.0407698,Buy
117,0.09330028,Buy
118,-0.010548863,Buy
119,-0.0077153663,Buy
120,-0.006336755,Buy
121,-0.038820967,Buy
122,0.052135676,Buy
123,-0.070279226,Buy
124,0.007983562,Buy
125,0.026517231,Buy
126,0.033938255,Buy
127,-0.06376898,Buy
128,0.030870497,Buy
129,-0.040610563,Buy
130,-0.042038623,Buy
131,0.012477029,Buy
132,0.03327905,Buy
133,0.0012345635,Buy
134,0.07467525,Buy
135,-0.033392318,Buy
136,0.08200411,Buy
137,0.030378887,Don't move
138,0.036852665,Don't move
139,0.009329606,Don't move
140,0.01838846,Don't move
141,-0.0191564,Don't move
142,0.020753356,Don't move
143,-0.004827074,Don't move
144,0.012931537,Don't move
145,0.023978757,Don't move
146,0.00536987,Don't move
